0,0,0,0,9,ap_hi;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,46,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,47,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,48,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,49,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,50,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,51,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,52,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,53,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,54,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,55,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,56,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,57,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,58,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,59,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,60,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,61,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,62,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,63,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,64,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,65,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,66,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,67,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,68,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,69,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,70,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,71,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,72,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,73,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,74,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,75,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,76,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,77,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,78,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,79,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,80,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,81,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,82,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,83,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,84,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,85,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,86,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,87,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,88,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,89,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,90,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,91,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,92,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,93,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,94,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,95,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,96,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,97,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,98,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,99,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,100,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,101,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,102,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,103,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,104,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,105,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,106,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,107,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,108,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,109,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,110,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,111,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,112,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,113,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,114,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,115,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,116,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,117,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,118,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,119,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,120,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,121,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,122,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,123,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,124,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,125,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,126,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,127,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,128,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,129,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,130,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,131,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,132,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,133,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,134,0,0,7,ap_hi;age;weight;ap_lo;cholesterol;gender;smoke
0,135,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,136,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,137,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,138,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,139,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,140,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,141,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,142,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,143,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,144,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,145,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,146,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,147,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,148,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,149,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,150,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,151,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,152,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,153,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,154,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,155,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,156,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,157,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,158,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,159,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,160,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,161,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,162,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,163,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,164,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,165,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,166,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,167,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,168,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,169,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,170,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,171,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,172,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,173,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,174,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,175,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,176,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,177,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,178,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,179,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,180,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,181,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,182,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,183,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,184,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,185,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,186,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,187,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,188,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,189,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,190,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,191,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,192,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,193,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,194,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,195,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,196,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,197,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,198,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,199,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,200,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,201,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,202,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,203,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,204,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,205,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,206,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,207,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,208,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,209,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,210,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,211,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,212,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,213,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,214,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,215,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,216,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,217,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,218,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,219,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,220,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,221,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,222,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,223,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,224,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,225,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,226,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,227,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,228,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,229,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,230,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,231,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,232,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,233,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,234,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,235,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,236,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,237,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,238,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,239,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,240,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,241,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,242,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,243,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,244,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,245,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,246,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,247,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,248,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,249,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,250,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,251,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,252,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,253,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,254,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,255,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,256,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,257,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,258,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,259,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,260,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,261,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,262,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,263,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,264,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,265,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,266,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,267,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,268,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,269,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,270,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,271,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,272,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,273,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,274,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,275,1,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,276,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,277,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,278,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,279,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,280,0,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,281,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,282,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,283,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,284,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,285,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,286,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,287,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,288,1,1,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
0,289,0,0,10,ap_hi;age;weight;height;ap_lo;cholesterol;gender;active;gluc;smoke
